epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5888,1.29362,2.96707,1.77226,0.00378,1,0.03626,0.01926,0.52454,3.55779,1.81449,3.334e-05,3.334e-05,3.334e-05
2,28.8421,1.31895,2.96079,1.78018,0.00383,1,0.16729,0.13843,0.56222,3.49807,1.69216,8.23185e-05,8.23185e-05,8.23185e-05
3,44.1292,0.9784,2.80553,1.61487,0.00378,1,0.44194,0.38386,0.51464,3.48238,1.61151,0.000130059,0.000130059,0.000130059
4,75.7497,0.85666,2.64891,1.42356,0.00356,1,0.7825,0.69788,0.3851,3.43945,1.42392,0.000176562,0.000176562,0.000176562
5,88.6321,0.91391,2.58265,1.47542,0.00346,1,0.79045,0.71463,0.33074,3.41361,1.39636,0.000221828,0.000221828,0.000221828
6,102.184,0.71153,2.37168,1.25914,0.00337,1,0.67031,0.54866,0.57764,3.48849,1.4662,0.000265855,0.000265855,0.000265855
7,115.858,0.62366,2.27552,1.24909,0.00334,1,0.6456,0.45838,0.85282,3.61623,1.61496,0.000308645,0.000308645,0.000308645
8,170.024,0.7257,2.06099,1.29353,0.00335,1,0.50158,0.32706,0.93645,3.66949,1.68757,0.000350197,0.000350197,0.000350197
9,186.249,0.6387,1.78826,1.18298,0.00335,1,0.3974,0.29803,0.78942,3.52623,1.63857,0.000390511,0.000390511,0.000390511
10,200.411,0.65238,1.79564,1.19918,0.00337,1,0.27517,0.20991,0.73604,3.45445,1.59572,0.000429588,0.000429588,0.000429588
11,214.266,0.61092,1.63161,1.19663,0.00342,1,0.15392,0.10952,0.71418,3.60468,1.54657,0.000467427,0.000467427,0.000467427
12,228.261,0.65636,1.53936,1.17089,0.00287,0.875,0.09567,0.06417,1.09444,3.6821,1.86171,0.000504028,0.000504028,0.000504028
13,241.766,0.62485,1.46399,1.12635,0.00297,0.875,0.078,0.06323,1.17944,3.77248,2.05224,0.000539391,0.000539391,0.000539391
14,254.532,0.57751,1.35718,1.15468,0.00303,0.875,0.10482,0.09322,0.92693,3.56381,1.93049,0.000573517,0.000573517,0.000573517
15,268.378,0.55392,1.32153,1.12281,0.00303,0.875,0.10482,0.09322,0.92693,3.56381,1.93049,0.000606405,0.000606405,0.000606405
16,280.871,0.5357,1.24351,1.10846,0.65942,0.125,0.22618,0.18423,0.97089,3.33394,1.85735,0.000638055,0.000638055,0.000638055
17,334.452,0.49127,1.18294,1.04923,0.66792,0.25,0.23067,0.15572,0.91974,3.17987,1.8085,0.000668467,0.000668467,0.000668467
18,493.308,0.64246,1.32231,1.19595,0.66792,0.25,0.23067,0.15572,0.91974,3.17987,1.8085,0.000697642,0.000697642,0.000697642
